movieId,title
157,"Net, The (1995)"
158,Nine Months (1995)
159,Party Girl (1995)
160,"Prophecy, The (1995)"
161,Reckless (1995)
162,Safe (1995)
163,"Scarlet Letter, The (1995)"
164,Showgirls (1995)
165,Smoke (1995)
166,Something to Talk About (1995)
167,Species (1995)
168,Strange Days (1995)
169,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
170,Three Wishes (1995)
171,Total Eclipse (1995)
172,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
173,Under Siege 2: Dark Territory (1995)
174,Unstrung Heroes (1995)
175,Unzipped (1995)
176,"Walk in the Clouds, A (1995)"
177,Waterworld (1995)
178,White Man's Burden (1995)
179,Wild Bill (1995)
180,"Browning Version, The (1994)"
181,Bushwhacked (1995)
182,Burnt by the Sun (Utomlyonnye solntsem) (1994)
183,Before the Rain (Pred dozhdot) (1994)
184,Before Sunrise (1995)
185,Billy Madison (1995)
186,"Babysitter, The (1995)"
187,Boys on the Side (1995)
188,"Cure, The (1995)"
189,Castle Freak (1995)
190,Circle of Friends (1995)
191,Clerks (1994)
192,Don Juan DeMarco (1995)
193,Disclosure (1994)
194,Drop Zone (1994)
195,Destiny Turns on the Radio (1995)
196,Death and the Maiden (1994)
197,Dolores Claiborne (1995)
198,Dumb & Dumber (Dumb and Dumber) (1994)
199,Eat Drink Man Woman (Yin shi nan nu) (1994)
200,Exotica (1994)
201,Exit to Eden (1994)
202,Ed Wood (1994)
203,French Kiss (1995)
204,Forget Paris (1995)
205,Far From Home: The Adventures of Yellow Dog (1995)
206,"Goofy Movie, A (1995)"
207,Hideaway (1995)
208,Fluke (1995)
209,Farinelli: il castrato (1994)
210,Gordy (1995)
211,Hoop Dreams (1994)
212,Heavenly Creatures (1994)
213,Houseguest (1994)
214,Immortal Beloved (1994)
215,Heavyweights (Heavy Weights) (1995)
216,"Hunted, The (1995)"
217,I.Q. (1994)
218,Interview with the Vampire: The Vampire Chronicles (1994)
219,Jefferson in Paris (1995)
220,"Jerky Boys, The (1995)"
221,Junior (1994)
222,Just Cause (1995)
223,"Kid in King Arthur's Court, A (1995)"
224,Kiss of Death (1995)
225,Star Wars: Episode IV - A New Hope (1977)
226,Little Women (1994)
227,"Little Princess, A (1995)"
228,Ladybird Ladybird (1994)
229,Like Water for Chocolate (Como agua para chocolate) (1992)
230,Legends of the Fall (1994)
231,Major Payne (1995)
232,My Crazy Life (Mi vida loca) (1993)
233,Love Affair (1994)
234,Losing Isaiah (1995)
235,"Madness of King George, The (1994)"
236,Mary Shelley's Frankenstein (Frankenstein) (1994)
237,Man of the House (1995)
238,Mixed Nuts (1994)
239,Milk Money (1994)
240,Miracle on 34th Street (1994)
241,Miami Rhapsody (1995)
242,My Family (1995)
243,Murder in the First (1995)
244,Nobody's Fool (1994)
245,Nell (1994)
246,New Jersey Drive (1995)
247,New York Cop (Nyû Yôku no koppu) (1993)
248,Beyond Bedlam (1993)
249,Nina Takes a Lover (1994)
250,Natural Born Killers (1994)
251,Only You (1994)
252,Once Were Warriors (1994)
253,Poison Ivy II (1996)
254,Outbreak (1995)
255,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
256,"Perez Family, The (1995)"
257,"Pyromaniac's Love Story, A (1995)"
258,Pulp Fiction (1994)
259,Pushing Hands (Tui shou) (1992)
260,Priest (1994)
261,Quiz Show (1994)
262,Picture Bride (Bijo photo) (1994)
263,"Queen Margot (Reine Margot, La) (1994)"
264,"Quick and the Dead, The (1995)"
265,Roommates (1995)
266,Ready to Wear (Pret-A-Porter) (1994)
267,Three Colors: Red (Trois couleurs: Rouge) (1994)
268,Three Colors: Blue (Trois couleurs: Bleu) (1993)
269,Three Colors: White (Trzy kolory: Bialy) (1994)
270,Rent-a-Kid (1995)
271,Relative Fear (1994)
272,Stuart Saves His Family (1995)
273,"Swan Princess, The (1994)"
274,"Secret of Roan Inish, The (1994)"
275,"Specialist, The (1994)"
276,Stargate (1994)
277,"Santa Clause, The (1994)"
278,"Shawshank Redemption, The (1994)"
279,Shallow Grave (1994)
280,Suture (1993)
281,Strawberry and Chocolate (Fresa y chocolate) (1993)
282,Swimming with Sharks (1995)
283,"Sum of Us, The (1994)"
284,National Lampoon's Senior Trip (1995)
285,To Live (Huozhe) (1994)
286,Tank Girl (1995)
287,Tales from the Crypt Presents: Demon Knight (1995)
288,Star Trek: Generations (1994)
289,Tales from the Hood (1995)
290,Tom & Viv (1994)
291,Village of the Damned (1995)
292,Tommy Boy (1995)
293,Vanya on 42nd Street (1994)
294,Underneath (1995)
295,"Walking Dead, The (1995)"
296,What's Eating Gilbert Grape (1993)
297,Virtuosity (1995)
298,While You Were Sleeping (1995)
299,"War, The (1994)"
300,Double Happiness (1994)
301,Muriel's Wedding (1994)
302,"Baby-Sitters Club, The (1995)"
303,Ace Ventura: Pet Detective (1994)
304,"Adventures of Priscilla, Queen of the Desert, The (1994)"
305,Backbeat (1993)
306,Bitter Moon (1992)
307,Bullets Over Broadway (1994)
308,Clear and Present Danger (1994)
309,"Client, The (1994)"
310,"Corrina, Corrina (1994)"
311,Crooklyn (1994)
312,"Crow, The (1994)"
313,Cobb (1994)
314,"Flintstones, The (1994)"
315,Forrest Gump (1994)
316,Four Weddings and a Funeral (1994)
317,Higher Learning (1995)
318,I Like It Like That (1994)
319,I Love Trouble (1994)
320,It Could Happen to You (1994)
321,"Jungle Book, The (1994)"
322,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
323,"Lion King, The (1994)"
324,Little Buddha (1993)
325,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
326,"Mask, The (1994)"
327,Maverick (1994)
328,Mrs. Parker and the Vicious Circle (1994)
329,Naked Gun 33 1/3: The Final Insult (1994)
330,"Paper, The (1994)"
331,Reality Bites (1994)
332,Red Rock West (1992)
333,Richie Rich (1994)
334,"River Wild, The (1994)"
335,Speed (1994)
336,Speechless (1994)
337,Timecop (1994)
338,True Lies (1994)
339,When a Man Loves a Woman (1994)
340,Wolf (1994)
341,Wyatt Earp (1994)
342,Bad Company (1995)
343,"Man of No Importance, A (1994)"
344,S.F.W. (1994)
345,"Low Down Dirty Shame, A (1994)"
346,Boys Life (1995)
347,"Colonel Chabert, Le (1994)"
348,Faster Pussycat! Kill! Kill! (1965)
349,Jason's Lyric (1994)
350,Street Fighter (1994)
351,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
352,Federal Hill (1994)
353,In the Mouth of Madness (1995)
354,8 Seconds (1994)
355,Above the Rim (1994)
356,Addams Family Values (1993)
357,"Age of Innocence, The (1993)"
358,Airheads (1994)
359,"Air Up There, The (1994)"
360,Another Stakeout (1993)
361,Bad Girls (1994)
362,Barcelona (1994)
363,Being Human (1993)
364,"Beverly Hillbillies, The (1993)"
365,Beverly Hills Cop III (1994)
366,Black Beauty (1994)
367,Blink (1994)
368,Blown Away (1994)
369,Blue Chips (1994)
370,Blue Sky (1994)
371,Body Snatchers (1993)
372,Boxing Helena (1993)
373,"Bronx Tale, A (1993)"
374,Cabin Boy (1994)
375,Calendar Girl (1993)
376,Carlito's Way (1993)
377,City Slickers II: The Legend of Curly's Gold (1994)
378,Clean Slate (1994)
379,Cliffhanger (1993)
380,Coneheads (1993)
381,Color of Night (1994)
382,Cops and Robbersons (1994)
383,"Cowboy Way, The (1994)"
384,Dave (1993)
385,Dazed and Confused (1993)
386,Demolition Man (1993)
387,Even Cowgirls Get the Blues (1993)
388,Fatal Instinct (1993)
389,Farewell My Concubine (Ba wang bie ji) (1993)
390,Fearless (1993)
391,Fear of a Black Hat (1994)
392,With Honors (1994)
393,Flesh and Bone (1993)
394,Widows' Peak (1994)
395,For Love or Money (1993)
396,"Firm, The (1993)"
397,Free Willy (1993)
398,Fresh (1994)
399,"Fugitive, The (1993)"
400,Geronimo: An American Legend (1993)
401,"Getaway, The (1994)"
402,Getting Even with Dad (1994)
403,Go Fish (1994)
404,Hard Target (1993)
405,Hot Shots! Part Deux (1993)
406,Live Nude Girls (1995)
407,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
408,"House of the Spirits, The (1993)"
409,House Party 3 (1994)
410,"Hudsucker Proxy, The (1994)"
411,I'll Do Anything (1994)
412,In the Army Now (1994)
413,In the Line of Fire (1993)
414,In the Name of the Father (1993)
415,"Inkwell, The (1994)"
416,What's Love Got to Do with It? (1993)
417,Jimmy Hollywood (1994)
418,Judgment Night (1993)
419,Jurassic Park (1993)
420,Kalifornia (1993)
421,Killing Zoe (1994)
422,Lassie (1994)
423,Last Action Hero (1993)
424,Life with Mikey (1993)
425,Lightning Jack (1994)
426,M. Butterfly (1993)
427,Made in America (1993)
428,Malice (1993)
429,"Man Without a Face, The (1993)"
430,Manhattan Murder Mystery (1993)
431,Menace II Society (1993)
432,Executive Decision (1996)
433,In the Realm of the Senses (Ai no corrida) (1976)
434,What Happened Was... (1994)
435,Much Ado About Nothing (1993)
436,Mr. Wonderful (1993)
437,Mrs. Doubtfire (1993)
438,Naked (1993)
439,"Next Karate Kid, The (1994)"
440,No Escape (1994)
441,North (1994)
442,Orlando (1992)
443,"Perfect World, A (1993)"
444,Philadelphia (1993)
445,"Piano, The (1993)"
446,Poetic Justice (1993)
447,"Program, The (1993)"
448,"Puppet Masters, The (1994)"
449,Radioland Murders (1994)
450,"Ref, The (1994)"
451,"Remains of the Day, The (1993)"
452,Renaissance Man (1994)
453,Rising Sun (1993)
454,"Road to Wellville, The (1994)"
455,RoboCop 3 (1993)
456,Robin Hood: Men in Tights (1993)
457,Romeo Is Bleeding (1993)
458,Romper Stomper (1992)
459,Ruby in Paradise (1993)
460,Rudy (1993)
461,"Savage Nights (Nuits fauves, Les) (1992)"
462,Schindler's List (1993)
463,"Scout, The (1994)"
464,Searching for Bobby Fischer (1993)
465,"Secret Garden, The (1993)"
466,Serial Mom (1994)
467,"Shadow, The (1994)"
468,Shadowlands (1993)
469,Short Cuts (1993)
470,"Simple Twist of Fate, A (1994)"
471,Sirens (1994)
472,Six Degrees of Separation (1993)
473,Sleepless in Seattle (1993)
474,Sliver (1993)
475,Blade Runner (1982)
476,Son in Law (1993)
477,So I Married an Axe Murderer (1993)
478,Striking Distance (1993)
479,Super Mario Bros. (1993)
480,Surviving the Game (1994)
481,Terminal Velocity (1994)
482,Thirty-Two Short Films About Glenn Gould (1993)
483,Threesome (1994)
484,"Nightmare Before Christmas, The (1993)"
485,"Three Musketeers, The (1993)"
486,Tombstone (1993)
487,True Romance (1993)
488,"War Room, The (1993)"
489,"Pagemaster, The (1994)"
490,Welcome to the Dollhouse (1995)
491,Germinal (1993)
492,Chasers (1994)
493,Kika (1993)
494,Bhaji on the Beach (1993)
495,Little Big League (1994)
496,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
497,Spanking the Monkey (1994)
498,"Little Rascals, The (1994)"
499,Andre (1994)
500,"Escort, The (Scorta, La) (1993)"
501,Princess Caraboo (1994)
502,"Celluloid Closet, The (1995)"
503,Dear Diary (Caro Diario) (1994)
504,"Brady Bunch Movie, The (1995)"
505,Home Alone (1990)
506,Ghost (1990)
507,Aladdin (1992)
508,Terminator 2: Judgment Day (1991)
509,Dances with Wolves (1990)
510,Batman (1989)
511,"Silence of the Lambs, The (1991)"
512,Snow White and the Seven Dwarfs (1937)
513,Beauty and the Beast (1991)
514,Pinocchio (1940)
515,Pretty Woman (1990)
516,"Wild Bunch, The (1969)"
517,Love and a .45 (1994)
518,"Great Day in Harlem, A (1994)"
519,One Fine Day (1996)
520,Candyman: Farewell to the Flesh (1995)
521,Fargo (1996)
522,Homeward Bound II: Lost in San Francisco (1996)
523,Heavy Metal (1981)
524,Hellraiser: Bloodline (1996)
525,"Pallbearer, The (1996)"
526,Jane Eyre (1996)
527,Bread and Chocolate (Pane e cioccolata) (1973)
528,"Aristocats, The (1970)"
529,"Flower of My Secret, The (La flor de mi secreto) (1995)"
530,Two Much (1995)
531,Ed (1996)
532,"Thin Line Between Love and Hate, A (1996)"
533,"Last Supper, The (1995)"
534,Primal Fear (1996)
535,All Dogs Go to Heaven 2 (1996)
536,Land and Freedom (Tierra y libertad) (1995)
537,Denise Calls Up (1995)
538,Theodore Rex (1995)
539,"Family Thing, A (1996)"
540,Frisk (1995)
541,Sgt. Bilko (1996)
542,Jack and Sarah (1995)
543,Girl 6 (1996)
544,Diabolique (1996)
545,Nelly & Monsieur Arnaud (1995)
546,Courage Under Fire (1996)
547,Mission: Impossible (1996)
548,Cold Fever (Á köldum klaka) (1995)
549,Moll Flanders (1996)
550,Dragonheart (1996)
551,Eddie (1996)
552,James and the Giant Peach (1996)
553,Fear (1996)
554,Kids in the Hall: Brain Candy (1996)
555,Underground (1995)
556,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
557,Song of the Little Road (Pather Panchali) (1955)
558,"World of Apu, The (Apur Sansar) (1959)"
559,Mystery Science Theater 3000: The Movie (1996)
560,Space Jam (1996)
561,Barbarella (1968)
562,Some Folks Call It a Sling Blade (1993)
563,"Run of the Country, The (1995)"
564,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
565,It's My Party (1996)
566,Operation Dumbo Drop (1995)
567,Mrs. Winterbourne (1996)
568,Solo (1996)
569,"Substitute, The (1996)"
570,True Crime (1996)
571,Feeling Minnesota (1996)
572,Delta of Venus (1995)
573,Angus (1995)
574,Boys (1996)
575,"Quest, The (1996)"
576,Sunset Park (1996)
577,Mulholland Falls (1996)
578,"Truth About Cats & Dogs, The (1996)"
579,Oliver & Company (1988)
580,Celtic Pride (1996)
581,Flipper (1996)
582,Dead Man (1995)
583,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
584,"Visitors, The (Visiteurs, Les) (1993)"
585,Multiplicity (1996)
586,Wallace & Gromit: The Best of Aardman Animation (1996)
587,"Haunted World of Edward D. Wood Jr., The (1996)"
588,"Craft, The (1996)"
589,"Great White Hype, The (1996)"
590,Last Dance (1996)
591,Cold Comfort Farm (1995)
592,Heaven's Prisoners (1996)
593,"Rock, The (1996)"
594,Cemetery Man (Dellamorte Dellamore) (1994)
595,Twister (1996)
596,Barb Wire (1996)
597,Ghost in the Shell (Kôkaku kidôtai) (1995)
598,Thinner (1996)
599,Spy Hard (1996)
600,Wallace & Gromit: A Close Shave (1995)
601,"Stupids, The (1996)"
602,"Arrival, The (1996)"
603,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
604,Ashes of Time (Dung che sai duk) (1994)
605,Maya Lin: A Strong Clear Vision (1994)
606,Stalingrad (1993)
607,"Phantom, The (1996)"
608,Striptease (1996)
609,Heavy (1995)
610,Jack (1996)
611,I Shot Andy Warhol (1996)
612,Touki Bouki (1973)
613,Spirits of the Dead (1968)
614,Trainspotting (1996)
615,'Til There Was You (1997)
616,Independence Day (a.k.a. ID4) (1996)
617,Stealing Beauty (1996)
618,"Fan, The (1996)"
619,"Hunchback of Notre Dame, The (1996)"
620,"Cable Guy, The (1996)"
621,Kingpin (1996)
622,Eraser (1996)
623,"Nutty Professor, The (1996)"
624,"Unforgettable Summer, An (Un été inoubliable) (1994)"
625,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)"
626,Somebody to Love (1994)
627,Daylight (1996)
628,"Frighteners, The (1996)"
629,Lone Star (1996)
630,Harriet the Spy (1996)
631,Phenomenon (1996)
632,Walking and Talking (1996)
633,She's the One (1996)
634,"Time to Kill, A (1996)"
635,American Buffalo (1996)
636,Alaska (1996)
637,Fled (1996)
638,Kazaam (1996)
639,Larger Than Life (1996)
640,"Very Brady Sequel, A (1996)"
641,"Collector, The (La collectionneuse) (1967)"
642,Kaspar Hauser (1993)
643,"Adventures of Pinocchio, The (1996)"
644,Joe's Apartment (1996)
645,"First Wives Club, The (1996)"
646,Ransom (1996)
647,High School High (1996)
648,Foxfire (1996)
649,Chain Reaction (1996)
650,Matilda (1996)
651,Emma (1996)
652,"Crow: City of Angels, The (1996)"
653,House Arrest (1996)
654,"Eyes Without a Face (Yeux sans visage, Les) (1959)"
655,Tales from the Crypt Presents: Bordello of Blood (1996)
656,"Spitfire Grill, The (1996)"
657,Escape from L.A. (1996)
658,Basquiat (1996)
659,Tin Cup (1996)
660,"Godfather, The (1972)"
661,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992)
662,Bound (1996)
663,Carpool (1996)
664,Kansas City (1996)
665,Gone Fishin' (1997)
666,Nothing to Lose (1994)
667,Supercop 2 (Project S) (Chao ji ji hua) (1993)
668,"Relic, The (1997)"
669,"Island of Dr. Moreau, The (1996)"
670,First Kid (1996)
671,"Trigger Effect, The (1996)"
672,Bogus (1996)
673,Bulletproof (1996)
674,Land Before Time III: The Time of the Great Giving (1995)
675,1-900 (06) (1994)
676,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995)
677,Twelfth Night (1996)
678,Mother Night (1996)
679,Wild Reeds (Les roseaux sauvages) (1994)
680,For Whom the Bell Tolls (1943)
681,"Philadelphia Story, The (1940)"
682,Singin' in the Rain (1952)
683,"American in Paris, An (1951)"
684,Funny Face (1957)
685,Breakfast at Tiffany's (1961)
686,Vertigo (1958)
687,Rear Window (1954)
688,It Happened One Night (1934)
689,Gaslight (1944)
690,"Gay Divorcee, The (1934)"
691,North by Northwest (1959)
692,"Apartment, The (1960)"
693,Some Like It Hot (1959)
694,Charade (1963)
695,Casablanca (1942)
696,"Maltese Falcon, The (1941)"
697,My Fair Lady (1964)
698,Sabrina (1954)
699,Roman Holiday (1953)
700,"Little Princess, The (1939)"
701,Meet Me in St. Louis (1944)
702,"Wizard of Oz, The (1939)"
703,Gone with the Wind (1939)
704,My Favorite Year (1982)
705,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
706,Citizen Kane (1941)
707,2001: A Space Odyssey (1968)
708,All About Eve (1950)
709,"Women, The (1939)"
710,Rebecca (1940)
711,Foreign Correspondent (1940)
712,Notorious (1946)
713,Spellbound (1945)
714,"Affair to Remember, An (1957)"
715,To Catch a Thief (1955)
716,Father of the Bride (1950)
717,"Band Wagon, The (1953)"
718,Ninotchka (1939)
719,Love in the Afternoon (1957)
720,Gigi (1958)
721,"Adventures of Robin Hood, The (1938)"
722,"Mark of Zorro, The (1940)"
723,Laura (1944)
724,"Ghost and Mrs. Muir, The (1947)"
725,Lost Horizon (1937)
726,Top Hat (1935)
727,To Be or Not to Be (1942)
728,My Man Godfrey (1936)
729,Giant (1956)
730,East of Eden (1955)
731,"Thin Man, The (1934)"
732,His Girl Friday (1940)
733,Around the World in 80 Days (1956)
734,It's a Wonderful Life (1946)
735,Mr. Smith Goes to Washington (1939)
736,Bringing Up Baby (1938)
737,Penny Serenade (1941)
738,Of Human Bondage (1934)
739,Little Lord Fauntleroy (1936)
740,"Inspector General, The (1949)"
741,"39 Steps, The (1935)"
742,Night of the Living Dead (1968)
743,"African Queen, The (1951)"
744,Beat the Devil (1953)
745,Cat on a Hot Tin Roof (1958)
746,Meet John Doe (1941)
747,"Farewell to Arms, A (1932)"
748,Nothing Personal (1995)
749,Dangerous Ground (1997)
750,Picnic (1955)
751,"Pompatus of Love, The (1996)"
752,Fly Away Home (1996)
753,Bliss (1997)
754,Grace of My Heart (1996)
755,Maximum Risk (1996)
756,Michael Collins (1996)
757,Infinity (1996)
758,Big Night (1996)
759,Last Man Standing (1996)
760,Set It Off (1996)
761,2 Days in the Valley (1996)
762,Extreme Measures (1996)
763,"Glimmer Man, The (1996)"
764,D3: The Mighty Ducks (1996)
765,"Chamber, The (1996)"
766,"Apple Dumpling Gang, The (1975)"
767,"Davy Crockett, King of the Wild Frontier (1955)"
768,Escape to Witch Mountain (1975)
769,"Love Bug, The (1969)"
770,Herbie Rides Again (1974)
771,Old Yeller (1957)
772,"Parent Trap, The (1961)"
773,Pollyanna (1960)
774,Homeward Bound: The Incredible Journey (1993)
775,"Shaggy Dog, The (1959)"
776,Swiss Family Robinson (1960)
777,That Darn Cat! (1965)
778,"20,000 Leagues Under the Sea (1954)"
779,Cool Runnings (1993)
780,Angels in the Outfield (1994)
781,Cinderella (1950)
782,Winnie the Pooh and the Blustery Day (1968)
783,"Three Caballeros, The (1945)"
784,"Sword in the Stone, The (1963)"
785,Robin Hood: Prince of Thieves (1991)
786,Mary Poppins (1964)
787,Dumbo (1941)
788,Pete's Dragon (1977)
789,Bedknobs and Broomsticks (1971)
790,Alice in Wonderland (1951)
791,"Fox and the Hound, The (1981)"
792,Freeway (1996)
793,"Sound of Music, The (1965)"
794,Die Hard (1988)
795,"Lawnmower Man, The (1992)"
796,"Secret Agent, The (1996)"
797,Secrets & Lies (1996)
798,That Thing You Do! (1996)
799,To Gillian on Her 37th Birthday (1996)
800,Beautiful Thing (1996)
801,"Long Kiss Goodnight, The (1996)"
802,"Ghost and the Darkness, The (1996)"
803,Looking for Richard (1996)
804,Trees Lounge (1996)
805,Normal Life (1996)
806,Get on the Bus (1996)
807,Shadow Conspiracy (1997)
808,Jude (1996)
809,Everyone Says I Love You (1996)
810,William Shakespeare's Romeo + Juliet (1996)
811,Swingers (1996)
812,Sleepers (1996)
813,Aladdin and the King of Thieves (1996)
814,Shall We Dance (1937)
815,Crossfire (1947)
816,Willy Wonka & the Chocolate Factory (1971)
817,"Innocents, The (1961)"
818,Sleeper (1973)
819,Bananas (1971)
820,"Fish Called Wanda, A (1988)"
821,Monty Python's Life of Brian (1979)
822,Victor/Victoria (1982)
823,"Candidate, The (1972)"
824,"Great Race, The (1965)"
825,Bonnie and Clyde (1967)
826,"Old Man and the Sea, The (1958)"
827,Dial M for Murder (1954)
828,Dirty Dancing (1987)
829,Reservoir Dogs (1992)
830,Platoon (1986)
831,Weekend at Bernie's (1989)
832,Basic Instinct (1992)
833,"Doors, The (1991)"
834,"Crying Game, The (1992)"
835,Glengarry Glen Ross (1992)
836,Sophie's Choice (1982)
837,E.T. the Extra-Terrestrial (1982)
838,"Christmas Carol, A (1938)"
839,Days of Thunder (1990)
840,Top Gun (1986)
841,Rebel Without a Cause (1955)
842,"Streetcar Named Desire, A (1951)"
843,Children of the Corn IV: The Gathering (1996)
844,Loser (1991)
845,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)
846,Palookaville (1996)
847,"Funeral, The (1996)"
848,"Single Girl, A (Fille seule, La) (1995)"
849,"Eighth Day, The (Huitième jour, Le) (1996)"
850,Drunks (1995)
851,"People vs. Larry Flynt, The (1996)"
852,Glory Daze (1995)
853,"Perfect Candidate, A (1996)"
854,On Golden Pond (1981)
855,"Return of the Pink Panther, The (1975)"
856,Drop Dead Fred (1991)
857,"Abyss, The (1989)"
858,"Fog, The (1980)"
859,Escape from New York (1981)
860,"Howling, The (1980)"
861,Jean de Florette (1986)
862,Manon of the Spring (Manon des sources) (1986)
